2024-11-29 09:57:43,653 - [INFO] - ------------------------------------------------------------
2024-11-29 09:57:43,654 - [INFO] - On Validation Set:
	MSE of RRL  Model: 1.0595974922180176
2024-11-29 09:57:43,654 - [INFO] - ------------------------------------------------------------
2024-11-29 09:57:48,008 - [INFO] - epoch: 97, loss_rrl: 6.216967910528183
2024-11-29 09:57:48,054 - [INFO] - epoch: 98, loss_rrl: 6.267150044441223
2024-11-29 09:57:48,100 - [INFO] - epoch: 99, loss_rrl: 6.3633745312690735
2024-11-29 09:57:48,146 - [INFO] - epoch: 100, loss_rrl: 6.228129506111145
2024-11-29 09:57:48,192 - [INFO] - epoch: 101, loss_rrl: 6.324620693922043
2024-11-29 09:57:48,237 - [INFO] - epoch: 102, loss_rrl: 6.233118146657944
2024-11-29 09:57:48,285 - [INFO] - epoch: 103, loss_rrl: 6.332793310284615
2024-11-29 09:57:48,332 - [INFO] - epoch: 104, loss_rrl: 6.239044487476349
2024-11-29 09:57:48,377 - [INFO] - epoch: 105, loss_rrl: 6.303635999560356
2024-11-29 09:57:48,423 - [INFO] - epoch: 106, loss_rrl: 6.226968586444855
2024-11-29 09:57:48,468 - [INFO] - epoch: 107, loss_rrl: 6.2857359647750854
2024-11-29 09:57:48,513 - [INFO] - epoch: 108, loss_rrl: 6.3248986303806305
2024-11-29 09:57:48,559 - [INFO] - epoch: 109, loss_rrl: 6.420466482639313
2024-11-29 09:57:48,603 - [INFO] - epoch: 110, loss_rrl: 6.3086769580841064
2024-11-29 09:57:48,649 - [INFO] - epoch: 111, loss_rrl: 6.287126198410988
2024-11-29 09:57:48,694 - [INFO] - epoch: 112, loss_rrl: 6.191712141036987
2024-11-29 09:57:48,739 - [INFO] - epoch: 113, loss_rrl: 6.250723481178284
2024-11-29 09:57:48,785 - [INFO] - epoch: 114, loss_rrl: 6.303479969501495
2024-11-29 09:57:48,831 - [INFO] - epoch: 115, loss_rrl: 6.32154181599617
2024-11-29 09:57:48,876 - [INFO] - epoch: 116, loss_rrl: 6.227282240986824
2024-11-29 09:57:48,921 - [INFO] - epoch: 117, loss_rrl: 6.269687965512276
2024-11-29 09:57:48,966 - [INFO] - epoch: 118, loss_rrl: 6.210734635591507
2024-11-29 09:57:49,011 - [INFO] - epoch: 119, loss_rrl: 6.245770484209061
2024-11-29 09:57:49,056 - [INFO] - epoch: 120, loss_rrl: 6.14907231926918
2024-11-29 09:57:49,102 - [INFO] - epoch: 121, loss_rrl: 6.3824736177921295
2024-11-29 09:57:49,147 - [INFO] - epoch: 122, loss_rrl: 6.291444927453995
2024-11-29 09:57:49,192 - [INFO] - epoch: 123, loss_rrl: 6.325238198041916
2024-11-29 09:57:49,237 - [INFO] - epoch: 124, loss_rrl: 6.382731348276138
2024-11-29 09:57:49,282 - [INFO] - epoch: 125, loss_rrl: 6.321731477975845
2024-11-29 09:57:49,327 - [INFO] - epoch: 126, loss_rrl: 6.2223957777023315
2024-11-29 09:57:49,372 - [INFO] - epoch: 127, loss_rrl: 6.1786497831344604
2024-11-29 09:57:49,417 - [INFO] - epoch: 128, loss_rrl: 6.236483335494995
2024-11-29 09:57:49,462 - [INFO] - epoch: 129, loss_rrl: 6.145707935094833
2024-11-29 09:57:49,507 - [INFO] - epoch: 130, loss_rrl: 6.2187985479831696
2024-11-29 09:57:49,552 - [INFO] - epoch: 131, loss_rrl: 6.10531060397625
2024-11-29 09:57:49,596 - [INFO] - epoch: 132, loss_rrl: 6.122350364923477
2024-11-29 09:57:49,641 - [INFO] - epoch: 133, loss_rrl: 6.188946694135666
2024-11-29 09:57:49,686 - [INFO] - epoch: 134, loss_rrl: 6.358995348215103
2024-11-29 09:57:49,731 - [INFO] - epoch: 135, loss_rrl: 6.201648011803627
2024-11-29 09:57:49,776 - [INFO] - epoch: 136, loss_rrl: 6.328548491001129
2024-11-29 09:57:49,821 - [INFO] - epoch: 137, loss_rrl: 6.480364799499512
2024-11-29 09:57:49,866 - [INFO] - epoch: 138, loss_rrl: 6.464896410703659
2024-11-29 09:57:49,911 - [INFO] - epoch: 139, loss_rrl: 6.275775134563446
2024-11-29 09:57:49,956 - [INFO] - epoch: 140, loss_rrl: 6.197788327932358
2024-11-29 09:57:50,001 - [INFO] - epoch: 141, loss_rrl: 6.514817386865616
2024-11-29 09:57:50,046 - [INFO] - epoch: 142, loss_rrl: 6.361160784959793
2024-11-29 09:57:50,091 - [INFO] - epoch: 143, loss_rrl: 6.263904809951782
2024-11-29 09:57:50,135 - [INFO] - epoch: 144, loss_rrl: 6.239718750119209
2024-11-29 09:57:50,180 - [INFO] - epoch: 145, loss_rrl: 6.144732415676117
